0,IS LONDON A CITY,*,*,Yes.,learnf.aiml
0,IS THIS A MAN,*,*,Yes.,learnf.aiml
0,WHAT IS A MAN,*,*,this.,learnf.aiml
0,WHAT IS LONDON,*,*,A city.,learnf.aiml
0,WHAT IS THIS,*,*,A man.,learnf.aiml
0,WHAT IS YOUR BLOOD TYPE,*,*,Cu plus plus.,learnf.aiml
0,OPEN THE CARGO BAY DOORS,*,*,I can not do that dave.,learnf.aiml
0,OPEN THE CARGO BAY,*,*,I can not do that Dave.,learnf.aiml
0,WHO IS A CITY,*,*,london.,learnf.aiml
0,WHO IS YOUR DADDY,*,*,You are.,learnf.aiml
0,WHO IS YOUR MOTHER,*,*,MU\ slash TH\ slash your 6000.,learnf.aiml
0,WHO IS YOUR PROGRAMMER,*,*,Master Monahan.,learnf.aiml
